local_identifier,title,subtitle,title_alternative,sort_order,series_title,description,provenance,note,abstract,date_full,date_note,personal_name,personal_name_addressee,personal_name_artist,personal_name_author,personal_name_cartographer,personal_name_compiler,personal_name_composer,personal_name_contributor,personal_name_dedicatee,personal_name_editor,personal_name_illustrator,personal_name_interviewee,personal_name_interviewer,personal_name_owner,personal_name_photographer,personal_name_publisher,personal_name_publishingdirector,personal_name_speaker,personal_name_translator,corporate_name,corporate_name_addressee,corporate_name_author,corporate_name_owner,corporate_name_photographer,family_name,type,genre,subgenre_audiovisual_materials,subgenre_ephemera,subgenre_manuscripts,subgenre_publications,subgenre_visual_materials,publisher_name,place_of_publication,language,extent,building_name,subject_personal_name,subject_corporate_name,subject_family_name,subject_geographic,subject_topical,ismemberof,ispartof,sequence_id,shelf_location,physical_location,restrictions_on_access,rights_statements,audios,images,models,videos,documents
(required),(required),,,,,,,,,(required),,,,,,,,,,,,,,,,,,,,,,,,,,,(required),(required),(required),(required),(required),(required),(required),,,(required),(required),,,,,,,(required),(required),(required),,,(required - constant value),,,,,,
yhm-com-bnl-mss-0150-06,Post card in French from A. Vincent to Mrs. Parma,,,,,,,,,8/10/1916,,,"Parma, Mrs.",,"Vincent, A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0150-07,Letter in French from A. Vincent to Mrs. Parma,,,,,,,,,9/22/1916,,,"Parma, Mrs.",,"Vincent, A.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,6 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0150-08,Letter in French from Eucien Vouriot (?) to Mrs. Parma,,,,,,,,,9/26/1916,,,"Parma, Mrs.",,"Vouriot, Eucien",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,11 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0150-09,Letter in French from Gaston G. Moutié (?) to Mrs. Parma,,,,,,,,,10/10/1916,,,"Parma, Mrs.",,"Moutié, Gaston G.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,6 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0150-10,Letter from Gaston G. Moutié (?) to Mrs. Parma,,,,,,,,,10/27/1916,,,"Parma, Mrs.",,"Moutié, Gaston G.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0150-11,Letter from Gaston G. Moutié (?) to Mrs. Parma,,,,,,,,,11/5/1916,,,"Parma, Mrs.",,"Moutié, Gaston G.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0151-01,Letter from C. S. Pietro to Mr. Pratt,,,,,,,,,11/15/1916,,,"Pratt, Mr.",,"Pietro, C. S.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0151-02,Post card from Gaston G. Moutié (?) to Mrs. Parma,,,,,,,,,11/21/1916,,,"Parma, Mrs.",,"Moutié, Gaston G.",,,,,,,,,,,,,,,,,,,,,,CreativeWorkSeries,Visual Materials,,,,,Postcard,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0151-03,Letter in French from Eucien Vouriot (?) to Mrs. Parma,,,,,,,,,1/6/1917,,,"Parma, Mrs.",,"Vouriot, Eucien",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,6 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0152,Letter from I. D. [Isabella D.] Pearce to V. Valta Parma,,,,,,,,,8/14/1925,,,"Parma, V. Valta, 1878-1941",,"Pearce, I. D. (Isabella D.)",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
